Formula,Predicted_Bandgap_eV,Predicted_Ef_eV_atom,Active_Material_Cost_m2,Panel_Lifetime_Years,PCE_Median,LCOE_Median,LCOE_Q10_Best,LCOE_Q90_Worst
Na2WSbS3Br3,1.40335,-1.04672,0.17802,30.00000,25.39983,0.03670,0.03285,0.05141
Na2FeMnO3S3,1.40325,-1.59867,0.02606,30.00000,25.37202,0.03671,0.03283,0.05092
Na2SbZnO3Br3,1.37211,-1.37409,0.12808,30.00000,25.36451,0.03672,0.03281,0.05410
Na2VCuO3F3,1.39063,-2.38833,0.12086,30.00000,25.38258,0.03672,0.03282,0.05189
Na2NbCuO3Cl3,1.35483,-1.85969,0.14049,30.00000,25.42195,0.03672,0.03281,0.05603
Na2VNbS6,1.37031,-1.38843,0.19800,30.00000,25.37129,0.03673,0.03284,0.05431
K2VCuO3Cl3,1.39743,-1.92962,0.11313,30.00000,25.35503,0.03674,0.03284,0.05104
Na2ZrMoS6,1.37281,-1.47890,0.22136,30.00000,25.40262,0.03674,0.03287,0.05332
Na2WMnS3Se3,1.39736,-1.07485,0.26574,30.00000,25.38535,0.03674,0.03286,0.05156
K2SnCuO3S3,1.41042,-1.66604,0.14210,30.00000,25.37845,0.03674,0.03284,0.05052
Na2SnMnO3Se3,1.39570,-1.42458,0.28241,30.00000,25.38405,0.03675,0.03285,0.05184
Na2FeMnO6,1.44129,-1.79380,0.00953,30.00000,25.29939,0.03675,0.03281,0.04944
K2NbCuO3Br3,1.34365,-1.81616,0.12489,30.00000,25.38380,0.03675,0.03281,0.05838
Li2VCuSe3F3,1.38372,-1.87144,0.32509,30.00000,25.40426,0.03675,0.03286,0.05277
Na2VCuO3Cl3,1.37650,-1.86000,0.10041,30.00000,25.32276,0.03675,0.03285,0.05389
Na2WSbSe3Cl3,1.38700,-1.08759,0.30789,30.00000,25.40405,0.03675,0.03285,0.05179
Na2SnNbSe3Cl3,1.37021,-1.40577,0.30457,30.00000,25.38039,0.03676,0.03287,0.05498
Na2SbZnSe3Br3,1.40190,-1.12324,0.24115,30.00000,25.34678,0.03676,0.03284,0.05118
K2CrWS3Se3,1.42621,-1.17858,0.27013,30.00000,25.32325,0.03677,0.03287,0.04966
K2MoSbSe3F3,1.35250,-1.86986,0.39572,30.00000,25.41208,0.03677,0.03287,0.05629
Na2NbCuO3F3,1.36022,-2.44936,0.16458,30.00000,25.36078,0.03677,0.03285,0.05617
K2FeMnO3S3,1.44035,-1.62011,0.04650,30.00000,25.28225,0.03677,0.03285,0.04904
Na2CrWSe3I3,1.40084,-1.07097,0.47266,30.00000,25.36728,0.03677,0.03287,0.05166
K2VSbS6,1.35304,-1.08260,0.22106,30.00000,25.33082,0.03677,0.03286,0.05640
Na2TiMoS6,1.43017,-1.35568,0.20613,30.00000,25.32305,0.03677,0.03288,0.04998
K2VCuSe3F3,1.36627,-1.96727,0.29631,30.00000,25.37615,0.03678,0.03285,0.05418
Na2WFeS3Br3,1.43847,-1.11708,0.10756,30.00000,25.30039,0.03678,0.03288,0.04954
K2MnBiO6,1.39173,-1.86184,0.18543,30.00000,25.35921,0.03678,0.03287,0.05227
K2WSbSe3Br3,1.38124,-1.12396,0.26621,30.00000,25.38472,0.03678,0.03283,0.05334
Na2MnZnCl3I3,1.37934,-1.26171,0.41007,30.00000,25.37745,0.03678,0.03290,0.05404
K2CrWSe3Br3,1.42038,-1.28817,0.22425,30.00000,25.30542,0.03678,0.03287,0.05026
Na2ZrSbSe3Br3,1.37588,-1.38969,0.25558,30.00000,25.34368,0.03678,0.03286,0.05424
Na2VSbS6,1.37917,-1.06589,0.21977,30.00000,25.36238,0.03678,0.03285,0.05394
K2WSbS3Br3,1.44229,-1.16566,0.18068,30.00000,25.27371,0.03678,0.03286,0.04901
Na2WFeSe3Cl3,1.42858,-1.21910,0.25187,30.00000,25.31966,0.03678,0.03286,0.04994
Na2VCuO3Br3,1.33198,-1.70489,0.08718,30.00000,25.33804,0.03678,0.03281,0.06139
Na2SnSbSe3I3,1.38453,-0.86406,0.50948,30.00000,25.37774,0.03679,0.03288,0.05320
K2ZrMoS6,1.33318,-1.50570,0.22249,30.00000,25.34301,0.03679,0.03287,0.06149
K2NbZnSe3Br3,1.37682,-1.41109,0.23017,30.00000,25.36817,0.03679,0.03283,0.05361
K2MnBiO3Se3,1.38653,-1.36237,0.29615,30.00000,25.34220,0.03679,0.03287,0.05220
Na2SnCuO3S3,1.40714,-1.64730,0.13386,30.00000,25.30881,0.03679,0.03286,0.05149
K2SnZnBr3I3,1.33843,-1.22836,0.36008,30.00000,25.39529,0.03679,0.03287,0.05917
K2TaFeS3Br3,1.37689,-1.41427,0.54720,30.00000,25.40995,0.03679,0.03288,0.05336
K2NbFeS3I3,1.35898,-1.19378,0.45314,30.00000,25.37720,0.03680,0.03290,0.05629
Na2NbZnSe3Cl3,1.39008,-1.31847,0.27218,30.00000,25.35438,0.03680,0.03289,0.05274
K2NbCuO3I3,1.40399,-1.66747,0.48346,30.00000,25.36385,0.03680,0.03290,0.05054
K2FeSbO3Br3,1.45398,-1.49598,0.13376,30.00000,25.22051,0.03680,0.03288,0.04883
Na2MnBiO3I3,1.34330,-1.27669,0.45625,30.00000,25.37324,0.03680,0.03287,0.05871
Na2NbFeS3I3,1.35755,-1.08023,0.46348,30.00000,25.40413,0.03680,0.03287,0.05631
Na2SnCuS3Se3,1.34838,-0.81460,0.27488,30.00000,25.35295,0.03680,0.03285,0.05769
K2ZrWSe6,1.35275,-1.32080,0.34887,30.00000,25.37962,0.03680,0.03284,0.05762
K2FeMnO6,1.42560,-1.75551,0.03529,30.00000,25.26091,0.03680,0.03287,0.04961
Na2SnZnF3I3,1.38220,-1.92590,0.45405,30.00000,25.36544,0.03680,0.03291,0.05319
K2MnSbO3Se3,1.32686,-1.40098,0.31500,30.00000,25.38353,0.03680,0.03287,0.06204
Na2ZrFeO3Br3,1.46339,-2.01599,0.05829,30.00000,25.23225,0.03680,0.03289,0.04875
Na2MnSbO3Br3,1.34447,-1.52597,0.12905,30.00000,25.35366,0.03680,0.03280,0.05854
K2VTaS3Se3,1.41486,-1.32090,0.73859,30.00000,25.37530,0.03680,0.03292,0.05032
K2VSbO3Se3,1.43514,-1.53401,0.35754,30.00000,25.33178,0.03680,0.03293,0.04924
K2WBiSe3I3,1.38106,-1.03675,0.45945,30.00000,25.34786,0.03680,0.03287,0.05344
K2NbZnSe3Cl3,1.43650,-1.44838,0.27025,30.00000,25.29239,0.03680,0.03288,0.04928
Na2SnNbSe3I3,1.37649,-1.00883,0.50952,30.00000,25.37811,0.03680,0.03288,0.05338
Na2CrMoO3I3,1.39304,-1.49936,0.53324,30.00000,25.35919,0.03681,0.03290,0.05250
Na2ZrSbS3I3,1.41591,-1.22823,0.46810,30.00000,25.32477,0.03681,0.03292,0.05059
Na2NbZnS3I3,1.35064,-1.12727,0.45941,30.00000,25.37730,0.03681,0.03293,0.05819
Na2WBiO3I3,1.39777,-1.37097,0.44734,30.00000,25.39420,0.03681,0.03288,0.05119
Na2MoWS3Se3,1.35445,-1.03571,0.34394,30.00000,25.35705,0.03681,0.03288,0.05720
Na2ZrWS6,1.43065,-1.48907,0.16139,30.00000,25.26713,0.03681,0.03287,0.04984
