Formula,Predicted_Bandgap_eV,Predicted_Ef_eV_atom,Active_Material_Cost_m2,Panel_Lifetime_Years,PCE_Median,PCE_Std_Error,PCE_Q10_Worst,PCE_Q90_Best,LCOE_Median,LCOE_Std_Error,LCOE_Q10_Best,LCOE_Q90_Worst
Na2VCuO3Cl3,1.3765,-1.8600,0.1004,30.0000,25.3869,7.0544,13.1545,29.5411,0.0367,0.0767,0.0328,0.0544
K2VSbS6,1.3530,-1.0826,0.2211,30.0000,25.4085,7.2515,12.3604,29.5956,0.0367,0.0806,0.0328,0.0566
Na2ZrSbSe3Br3,1.3759,-1.3897,0.2556,30.0000,25.4080,7.0112,13.3258,29.5791,0.0367,0.0758,0.0329,0.0538
K2NbZnSe3Br3,1.3768,-1.4111,0.2302,30.0000,25.4045,6.9986,13.4867,29.5531,0.0367,0.0762,0.0328,0.0534
K2MnBiO6,1.3917,-1.8618,0.1854,30.0000,25.3922,6.8111,14.0846,29.5641,0.0367,0.0715,0.0328,0.0519
Na2FeMnO3S3,1.4033,-1.5987,0.0261,30.0000,25.3291,6.7445,14.3125,29.5219,0.0367,0.0699,0.0328,0.0514
Na2VCuO3F3,1.3906,-2.3883,0.1209,30.0000,25.3625,6.8061,14.0989,29.5296,0.0367,0.0707,0.0328,0.0518
Na2SnMnO3Se3,1.3957,-1.4246,0.2824,30.0000,25.4032,6.7543,14.4079,29.5693,0.0367,0.0704,0.0329,0.0511
Na2NbCuO3F3,1.3602,-2.4494,0.1646,30.0000,25.3791,7.1647,12.7346,29.5846,0.0367,0.0786,0.0328,0.0553
Na2VSbS6,1.3792,-1.0659,0.2198,30.0000,25.3705,6.9714,13.5472,29.5699,0.0367,0.0740,0.0329,0.0532
K2CrWS3Se3,1.4262,-1.1786,0.2701,30.0000,25.3471,6.4718,15.1016,29.5424,0.0368,0.0641,0.0329,0.0498
K2SnCuO3S3,1.4104,-1.6660,0.1421,30.0000,25.3318,6.6353,14.6401,29.5187,0.0368,0.0678,0.0328,0.0508
Na2SnCuO3S3,1.4071,-1.6473,0.1339,30.0000,25.3244,6.6987,14.4752,29.5330,0.0368,0.0683,0.0329,0.0511
Na2VNbS6,1.3703,-1.3884,0.1980,30.0000,25.3625,7.1327,12.8782,29.5708,0.0368,0.0779,0.0328,0.0549
Na2NbCuO3Cl3,1.3548,-1.8597,0.1405,30.0000,25.3415,7.2637,12.3383,29.5672,0.0368,0.0812,0.0328,0.0566
Na2MnBiO3Se3,1.3869,-1.3257,0.2993,30.0000,25.3946,6.9045,13.7812,29.5495,0.0368,0.0740,0.0329,0.0528
Na2MoWS3Se3,1.3545,-1.0357,0.3439,30.0000,25.3988,7.2639,12.3824,29.5757,0.0368,0.0818,0.0329,0.0564
Na2SnNbS3Br3,1.3597,-1.2332,0.1541,30.0000,25.3750,7.2183,12.4672,29.5934,0.0368,0.0791,0.0328,0.0562
Na2SbZnO3Br3,1.3721,-1.3741,0.1281,30.0000,25.3541,7.0650,13.1183,29.5395,0.0368,0.0772,0.0328,0.0543
Na2MnSbO3Br3,1.3445,-1.5260,0.1291,30.0000,25.3420,7.2620,12.1158,29.5689,0.0368,0.0801,0.0329,0.0570
K2CrWSe3Br3,1.4204,-1.2882,0.2242,30.0000,25.3245,6.5572,14.8961,29.5460,0.0368,0.0646,0.0329,0.0500
Na2ZrWS6,1.4307,-1.4891,0.1614,30.0000,25.3212,6.4962,15.0068,29.5596,0.0368,0.0633,0.0329,0.0499
K2FeMnO3S3,1.4403,-1.6201,0.0465,30.0000,25.2770,6.3806,15.3300,29.5086,0.0368,0.0616,0.0329,0.0492
Na2WSbSe3Cl3,1.3870,-1.0876,0.3079,30.0000,25.3531,6.8367,14.0707,29.5484,0.0368,0.0726,0.0329,0.0520
K2SnNbSe3Cl3,1.3801,-1.6057,0.3012,30.0000,25.3860,6.9368,13.6771,29.5594,0.0368,0.0740,0.0328,0.0529
K2WSbSe3Br3,1.3812,-1.1240,0.2662,30.0000,25.3529,6.9196,13.7411,29.5441,0.0368,0.0750,0.0329,0.0528
K2MoSbSe3F3,1.3525,-1.8699,0.3957,30.0000,25.3992,7.2261,12.3387,29.5762,0.0368,0.0791,0.0329,0.0567
K2VCuSe3F3,1.3663,-1.9673,0.2963,30.0000,25.3796,7.1041,12.9705,29.5626,0.0368,0.0765,0.0329,0.0548
Na2CrWSe3I3,1.4008,-1.0710,0.4727,30.0000,25.3961,6.7562,14.2788,29.5930,0.0368,0.0698,0.0329,0.0515
K2FeMnO6,1.4256,-1.7555,0.0353,30.0000,25.2803,6.5815,14.6630,29.5508,0.0368,0.0655,0.0328,0.0505
Na2WMnS3Se3,1.3974,-1.0748,0.2657,30.0000,25.3577,6.7923,14.1290,29.5387,0.0368,0.0708,0.0329,0.0517
K2MnBiO3Se3,1.3865,-1.3624,0.2961,30.0000,25.3805,6.9766,13.6000,29.5646,0.0368,0.0751,0.0328,0.0532
Na2MnZnCl3I3,1.3793,-1.2617,0.4101,30.0000,25.3791,6.9544,13.5581,29.5941,0.0368,0.0738,0.0329,0.0531
K2ZrWSe6,1.3527,-1.3208,0.3489,30.0000,25.3748,7.2460,12.3225,29.5852,0.0368,0.0802,0.0329,0.0563
K2VCuO3Cl3,1.3974,-1.9296,0.1131,30.0000,25.3422,6.7716,14.2921,29.5514,0.0368,0.0702,0.0329,0.0513
K2SnBiSe3I3,1.3912,-0.9973,0.4728,30.0000,25.3900,6.7937,14.3790,29.5652,0.0368,0.0715,0.0329,0.0513
Na2TiWS6,1.4449,-1.3613,0.1435,30.0000,25.2658,6.3437,15.4201,29.5063,0.0368,0.0615,0.0329,0.0492
Na2SbZnSe3Br3,1.4019,-1.1232,0.2411,30.0000,25.3318,6.7451,14.3323,29.5592,0.0368,0.0701,0.0329,0.0515
Na2VFeO3Br3,1.4594,-1.8248,0.0724,30.0000,25.2696,6.2500,15.5899,29.5086,0.0368,0.0578,0.0329,0.0488
Na2FeMnO6,1.4413,-1.7938,0.0095,30.0000,25.2849,6.3755,15.1716,29.5358,0.0368,0.0610,0.0328,0.0494
Na2NbZnSe3Cl3,1.3901,-1.3185,0.2722,30.0000,25.3500,6.8934,13.8693,29.5837,0.0368,0.0734,0.0329,0.0525
Na2CrMoO3I3,1.3930,-1.4994,0.5332,30.0000,25.3857,6.8117,14.1981,29.5533,0.0368,0.0712,0.0329,0.0518
Li2VCuSe3F3,1.3837,-1.8714,0.3251,30.0000,25.3270,6.9243,13.7252,29.5458,0.0368,0.0735,0.0329,0.0529
K2VCuO3Br3,1.3155,-1.7382,0.0973,30.0000,25.3183,7.7390,10.0350,29.5887,0.0368,0.0909,0.0328,0.0656
Na2ZrMoS6,1.3728,-1.4789,0.2214,30.0000,25.3353,7.0998,13.0667,29.5734,0.0368,0.0775,0.0328,0.0546
Na2SnSbSe3Br3,1.4208,-1.0344,0.2688,30.0000,25.3186,6.5475,14.8349,29.5219,0.0368,0.0657,0.0329,0.0502
K2MnSbO3Se3,1.3269,-1.4010,0.3150,30.0000,25.3293,7.5368,10.9761,29.5758,0.0368,0.0870,0.0328,0.0615
K2SbZnSe3I3,1.4120,-1.0106,0.4918,30.0000,25.3580,6.6473,14.5952,29.5600,0.0368,0.0672,0.0329,0.0508
K2MoMnS6,1.4372,-1.2335,0.1997,30.0000,25.2634,6.3897,15.3694,29.5224,0.0368,0.0629,0.0329,0.0491
Na2ZrWS3Se3,1.3329,-1.3269,0.2780,30.0000,25.3683,7.5359,11.1137,29.5723,0.0368,0.0862,0.0328,0.0614
K2NbCuO3I3,1.4040,-1.6675,0.4835,30.0000,25.3545,6.6782,14.6263,29.5357,0.0368,0.0692,0.0329,0.0507
K2MnSbO3Cl3,1.4545,-1.8009,0.1614,30.0000,25.2773,6.2415,15.6648,29.5086,0.0368,0.0589,0.0329,0.0486
Na2MnSbO3Se3,1.3279,-1.3561,0.3199,30.0000,25.3520,7.5017,11.1209,29.5800,0.0368,0.0854,0.0328,0.0610
K2CrMnS3I3,1.3936,-1.1787,0.4270,30.0000,25.3718,6.8232,14.1300,29.5379,0.0368,0.0715,0.0329,0.0518
Na2WFeSe3Cl3,1.4286,-1.2191,0.2519,30.0000,25.2816,6.5090,14.9718,29.5168,0.0368,0.0653,0.0329,0.0500
K2ZrMoS6,1.3332,-1.5057,0.2225,30.0000,25.3406,7.4564,11.3318,29.5857,0.0368,0.0845,0.0328,0.0599
K2WBiSe3I3,1.3811,-1.0368,0.4595,30.0000,25.3842,6.9981,13.3923,29.5436,0.0368,0.0753,0.0329,0.0535
Na2CrWSe3Br3,1.3278,-1.2174,0.2237,30.0000,25.3184,7.5871,10.8048,29.6108,0.0368,0.0861,0.0328,0.0622
Na2WSbS3Br3,1.4034,-1.0467,0.1780,30.0000,25.3667,6.7562,14.1906,29.5572,0.0368,0.0692,0.0328,0.0514
K2WSbS3Br3,1.4423,-1.1657,0.1807,30.0000,25.2765,6.3967,15.2417,29.4906,0.0368,0.0629,0.0329,0.0494
K2SnMnO3Se3,1.3441,-1.4967,0.2797,30.0000,25.3392,7.3619,11.6477,29.5580,0.0368,0.0814,0.0329,0.0586
K2WSbSe3I3,1.3519,-0.9104,0.4838,30.0000,25.3946,7.2326,12.4880,29.5713,0.0368,0.0812,0.0329,0.0561
K2NbCuO3Br3,1.3437,-1.8162,0.1249,30.0000,25.3151,7.4160,11.5953,29.5741,0.0368,0.0833,0.0328,0.0590
Na2MoMnS6,1.3242,-1.1313,0.1966,30.0000,25.3440,7.6275,10.4940,29.5615,0.0368,0.0880,0.0329,0.0636
Na2TiMoS6,1.4302,-1.3557,0.2061,30.0000,25.2853,6.4724,14.9992,29.5076,0.0368,0.0627,0.0329,0.0500
K2TaCuS3Br3,1.3874,-1.3264,0.5517,30.0000,25.3784,6.9462,13.6904,29.5674,0.0368,0.0744,0.0329,0.0531
Na2ZrSbSe3I3,1.4016,-1.1453,0.5059,30.0000,25.3693,6.7773,14.2261,29.5143,0.0368,0.0714,0.0329,0.0517
K2ZrSbSe3I3,1.4036,-1.3285,0.4964,30.0000,25.3573,6.6533,14.5501,29.5410,0.0368,0.0680,0.0329,0.0510
K2SbZnO3I3,1.3654,-1.2818,0.4752,30.0000,25.3597,7.1440,12.7379,29.5347,0.0368,0.0788,0.0329,0.0554
Na2SnFeF3I3,1.3550,-1.9315,0.4581,30.0000,25.4019,7.2292,12.4497,29.5582,0.0368,0.0789,0.0329,0.0563
Na2VCuO3Br3,1.3320,-1.7049,0.0872,30.0000,25.3331,7.5136,11.1449,29.5727,0.0368,0.0852,0.0328,0.0606
K2SnNbSe3I3,1.3579,-1.1435,0.4999,30.0000,25.3480,7.2096,12.5141,29.5760,0.0368,0.0803,0.0329,0.0563
Na2WBiO3I3,1.3978,-1.3710,0.4473,30.0000,25.3258,6.7987,13.9850,29.5252,0.0368,0.0712,0.0329,0.0523
K2MnBiO3S3,1.4534,-1.7007,0.1782,30.0000,25.2408,6.2861,15.4047,29.5060,0.0368,0.0585,0.0329,0.0491
Na2TaZnSe3Br3,1.3837,-1.3021,0.5842,30.0000,25.3743,6.8787,13.8280,29.5576,0.0368,0.0724,0.0329,0.0527
Na2SbZnSe3I3,1.3588,-0.8947,0.5015,30.0000,25.4131,7.1508,12.8207,29.5880,0.0368,0.0787,0.0329,0.0551
Na2NbCuO3Br3,1.3187,-1.7627,0.1175,30.0000,25.3202,7.7340,10.0380,29.5842,0.0368,0.0903,0.0328,0.0651
K2TaFeS3Br3,1.3769,-1.4143,0.5472,30.0000,25.3796,6.9976,13.3805,29.5810,0.0368,0.0758,0.0329,0.0537
Na2CrWS3I3,1.4373,-1.0822,0.4298,30.0000,25.3103,6.4458,15.0953,29.5152,0.0368,0.0641,0.0329,0.0496
K2MnBiO3Cl3,1.4620,-1.7138,0.1646,30.0000,25.2104,6.2187,15.6275,29.4875,0.0368,0.0573,0.0329,0.0487
Na2SnNbSe3I3,1.3765,-1.0088,0.5095,30.0000,25.3548,7.0202,13.2770,29.5627,0.0368,0.0760,0.0329,0.0539
K2MnSbO3I3,1.3450,-1.4496,0.4813,30.0000,25.3929,7.3921,11.8555,29.6131,0.0368,0.0839,0.0328,0.0582
Na2SnNbSe3Cl3,1.3702,-1.4058,0.3046,30.0000,25.3305,7.0993,13.0212,29.5799,0.0368,0.0771,0.0329,0.0544
Na2SnCrS3Se3,1.3268,-1.0253,0.2744,30.0000,25.3486,7.6040,10.7749,29.5568,0.0368,0.0883,0.0328,0.0622
Na2SnTaSe3Br3,1.4050,-1.3563,0.5876,30.0000,25.3779,6.6527,14.6104,29.5702,0.0368,0.0677,0.0329,0.0510
K2FeSbO3I3,1.3623,-1.3313,0.4794,30.0000,25.3526,7.1629,12.8039,29.5636,0.0368,0.0788,0.0329,0.0553
Na2NbZnS3I3,1.3506,-1.1273,0.4594,30.0000,25.3809,7.2956,12.2418,29.5902,0.0368,0.0821,0.0329,0.0568
K2MnBiO3I3,1.4312,-1.4081,0.4471,30.0000,25.3011,6.4341,15.1937,29.5486,0.0368,0.0628,0.0329,0.0495
Na2ZrSbS3I3,1.4159,-1.2282,0.4681,30.0000,25.3274,6.6169,14.6640,29.5286,0.0368,0.0665,0.0329,0.0506
K2CrMnSe3I3,1.3502,-1.1763,0.4755,30.0000,25.3509,7.2687,12.3135,29.5811,0.0368,0.0820,0.0329,0.0567
K2SnZnBr3I3,1.3384,-1.2284,0.3601,30.0000,25.3602,7.4105,11.6456,29.5865,0.0368,0.0828,0.0329,0.0591
K2FeSbO3Br3,1.4540,-1.4960,0.1338,30.0000,25.2134,6.2496,15.4675,29.4684,0.0368,0.0584,0.0329,0.0488
Na2SnZnF3I3,1.3822,-1.9259,0.4541,30.0000,25.3346,6.9469,13.6291,29.5454,0.0368,0.0755,0.0329,0.0530
Na2NbMnS3I3,1.3341,-1.1527,0.4653,30.0000,25.3394,7.4484,11.3643,29.6150,0.0368,0.0844,0.0329,0.0598
Na2WFeS3Br3,1.4385,-1.1171,0.1076,30.0000,25.2555,6.4058,15.2345,29.4831,0.0368,0.0628,0.0329,0.0495
K2NbMnSe3I3,1.3447,-1.2214,0.4964,30.0000,25.3596,7.3490,11.9096,29.5865,0.0368,0.0825,0.0329,0.0582
Na2SnSbSe3I3,1.3845,-0.8641,0.5095,30.0000,25.3604,6.9226,13.7720,29.5403,0.0368,0.0747,0.0329,0.0528
K2NbFeSe3I3,1.3972,-1.2008,0.4949,30.0000,25.3533,6.8122,14.1407,29.5627,0.0368,0.0716,0.0329,0.0520
Na2WSbS3I3,1.4427,-0.9437,0.4561,30.0000,25.2778,6.3598,15.3542,29.4947,0.0368,0.0623,0.0329,0.0493
K2SnTaSe3Br3,1.4003,-1.4471,0.5744,30.0000,25.3315,6.8125,14.2038,29.5549,0.0368,0.0711,0.0329,0.0517
K2MnZnCl3I3,1.4162,-1.3597,0.4020,30.0000,25.2979,6.6754,14.5473,29.5277,0.0368,0.0692,0.0329,0.0509
Na2SnFeO3I3,1.3933,-1.3132,0.4630,30.0000,25.3380,6.8790,13.8768,29.5444,0.0368,0.0732,0.0329,0.0527
Na2MnBiO3Br3,1.4468,-1.4711,0.1364,30.0000,25.2299,6.3537,15.2803,29.4859,0.0368,0.0608,0.0329,0.0494
K2CrMnO3S3,1.4633,-1.7014,0.0585,30.0000,25.1851,6.1952,15.6207,29.4836,0.0368,0.0571,0.0329,0.0486
Na2TiWS3Se3,1.3027,-1.1929,0.2725,30.0000,25.3328,7.8782,9.3602,29.5831,0.0368,0.0934,0.0329,0.0689
Na2VSbO3Se3,1.4172,-1.5255,0.3652,30.0000,25.3240,6.5580,15.0185,29.5084,0.0368,0.0667,0.0329,0.0501
K2NbZnSe3I3,1.3649,-1.1930,0.4913,30.0000,25.3808,7.1506,12.6899,29.5196,0.0368,0.0791,0.0329,0.0556
Na2SnMoS3Se3,1.3427,-0.9646,0.3543,30.0000,25.3377,7.4178,11.4700,29.5624,0.0368,0.0837,0.0329,0.0596
Na2TiSbS3I3,1.3328,-1.0646,0.4751,30.0000,25.3615,7.4993,11.1417,29.5569,0.0368,0.0857,0.0329,0.0609
Na2VMnO3Br3,1.4695,-1.9492,0.0744,30.0000,25.1786,6.1350,15.7036,29.4488,0.0368,0.0553,0.0329,0.0484
Na2WSbO3I3,1.4295,-1.3649,0.4773,30.0000,25.3230,6.4693,15.0810,29.5626,0.0368,0.0637,0.0329,0.0499
K2SnSbSe3Br3,1.4609,-1.1347,0.2675,30.0000,25.2149,6.2251,15.5655,29.4623,0.0368,0.0581,0.0329,0.0488
K2SnFeF3I3,1.3619,-1.9812,0.4478,30.0000,25.3398,7.2165,12.3646,29.5529,0.0368,0.0803,0.0329,0.0567
K2TaMnSe3Cl3,1.4121,-1.5698,0.6824,30.0000,25.3572,6.6460,14.6771,29.5660,0.0368,0.0673,0.0329,0.0507
K2MnZnF3I3,1.4423,-2.0860,0.4339,30.0000,25.2785,6.3041,15.5534,29.5292,0.0368,0.0603,0.0329,0.0490
Na2TaCuO3F3,1.4004,-2.6473,0.8681,30.0000,25.3625,6.8118,14.0576,29.5697,0.0368,0.0713,0.0329,0.0521
Na2TaCuO3Br3,1.4490,-1.8230,0.6058,30.0000,25.2527,6.3368,15.4828,29.4946,0.0368,0.0619,0.0330,0.0492
Na2ZrFeO3Br3,1.4634,-2.0160,0.0583,30.0000,25.2301,6.1883,15.5855,29.4804,0.0368,0.0570,0.0329,0.0487
Na2MoBiO3I3,1.4336,-1.3183,0.5123,30.0000,25.2957,6.4378,15.1066,29.5145,0.0368,0.0628,0.0329,0.0499
K2SnFeO3I3,1.4420,-1.3200,0.4524,30.0000,25.2814,6.3681,15.4316,29.5026,0.0368,0.0617,0.0329,0.0491
