Formula,Predicted_Bandgap_eV,Predicted_Ef_eV_atom,Active_Material_Cost_m2,Panel_Lifetime_Years,PCE_Median,PCE_Std_Error,PCE_Q10_Worst,PCE_Q90_Best,LCOE_Median,LCOE_Std_Error,LCOE_Q10_Best,LCOE_Q90_Worst
Na2TiWS6,1.4449,-1.3613,0.1435,30.0000,25.3809,6.3278,15.4955,29.5652,0.0367,0.0610,0.0328,0.0488
Na2NbCuO3F3,1.3602,-2.4494,0.1646,30.0000,25.5126,7.1154,12.8691,29.6094,0.0367,0.0780,0.0328,0.0549
Na2TiMoS6,1.4302,-1.3557,0.2061,30.0000,25.3585,6.4847,15.0428,29.5144,0.0367,0.0644,0.0329,0.0497
K2SnCuO3S3,1.4104,-1.6660,0.1421,30.0000,25.4267,6.7036,14.4047,29.5748,0.0367,0.0711,0.0328,0.0510
K2MnBiO6,1.3917,-1.8618,0.1854,30.0000,25.4345,6.8857,14.3690,29.5659,0.0367,0.0747,0.0328,0.0519
K2WSbSe3Br3,1.3812,-1.1240,0.2662,30.0000,25.4268,7.0883,13.2579,29.5614,0.0367,0.0783,0.0328,0.0537
Na2SbZnO3Br3,1.3721,-1.3741,0.1281,30.0000,25.3774,6.9924,13.5837,29.5791,0.0367,0.0744,0.0328,0.0530
Na2CrMnS3I3,1.3163,-1.1144,0.4367,30.0000,25.3506,7.7120,10.2273,29.5811,0.0367,0.0904,0.0329,0.0648
Na2MnSbO3Br3,1.3445,-1.5260,0.1291,30.0000,25.4259,7.3238,12.2011,29.5560,0.0367,0.0827,0.0328,0.0572
Na2WFeS3Br3,1.4385,-1.1171,0.1076,30.0000,25.3346,6.4826,15.3742,29.6135,0.0367,0.0635,0.0328,0.0494
K2NbCuO3Br3,1.3437,-1.8162,0.1249,30.0000,25.3571,7.3520,11.7275,29.5913,0.0367,0.0823,0.0329,0.0583
K2FeMnO6,1.4256,-1.7555,0.0353,30.0000,25.3268,6.6873,14.4952,29.5508,0.0367,0.0674,0.0328,0.0513
Na2VNbS6,1.3703,-1.3884,0.1980,30.0000,25.3928,7.1003,13.0021,29.5765,0.0367,0.0785,0.0328,0.0553
Na2FeMnO3S3,1.4033,-1.5987,0.0261,30.0000,25.3743,6.6693,14.4874,29.4959,0.0367,0.0687,0.0328,0.0511
K2NbZnSe3Br3,1.3768,-1.4111,0.2302,30.0000,25.4149,6.9853,13.5740,29.5948,0.0367,0.0774,0.0329,0.0533
K2SnNbSe3Cl3,1.3801,-1.6057,0.3012,30.0000,25.4356,6.8261,14.2496,29.6012,0.0367,0.0712,0.0328,0.0514
Na2SnNbS3I3,1.4412,-1.0319,0.4723,30.0000,25.3609,6.4235,15.3157,29.5201,0.0367,0.0643,0.0329,0.0492
Na2WBiO3I3,1.3978,-1.3710,0.4473,30.0000,25.3901,6.7183,14.3406,29.6102,0.0367,0.0700,0.0329,0.0513
K2NbSbS3Se3,1.4506,-1.0463,0.3443,30.0000,25.3599,6.1333,15.9734,29.5164,0.0367,0.0575,0.0329,0.0479
Na2ZrSbSe3Br3,1.3759,-1.3897,0.2556,30.0000,25.4011,6.9771,13.4994,29.5843,0.0367,0.0733,0.0329,0.0538
K2WBiSe3I3,1.3811,-1.0368,0.4595,30.0000,25.4172,7.0398,13.2683,29.6934,0.0367,0.0771,0.0329,0.0535
Na2CrMoO3I3,1.3930,-1.4994,0.5332,30.0000,25.4655,6.8721,14.1647,29.6395,0.0367,0.0720,0.0329,0.0518
Na2VCuO3Cl3,1.3765,-1.8600,0.1004,30.0000,25.3576,7.1231,12.9519,29.5973,0.0368,0.0788,0.0329,0.0545
K2ZrWSe6,1.3527,-1.3208,0.3489,30.0000,25.3867,7.2143,12.4623,29.5797,0.0368,0.0794,0.0329,0.0559
Na2MnBiO3Br3,1.4468,-1.4711,0.1364,30.0000,25.3172,6.4171,15.1868,29.5412,0.0368,0.0624,0.0328,0.0492
K2VCuSe3F3,1.3663,-1.9673,0.2963,30.0000,25.3889,7.2005,12.7751,29.6035,0.0368,0.0800,0.0328,0.0556
Na2ZrMoS6,1.3728,-1.4789,0.2214,30.0000,25.3162,7.0374,13.4696,29.5389,0.0368,0.0768,0.0329,0.0536
Na2MoBiO3I3,1.4336,-1.3183,0.5123,30.0000,25.2976,6.3336,15.4284,29.5639,0.0368,0.0596,0.0329,0.0490
Na2WMnS3Se3,1.3974,-1.0748,0.2657,30.0000,25.4060,6.7785,14.1131,29.6176,0.0368,0.0688,0.0328,0.0514
K2WSbS3Br3,1.4423,-1.1657,0.1807,30.0000,25.3409,6.3403,15.4738,29.5783,0.0368,0.0624,0.0329,0.0487
K2ZrSbSe3I3,1.4036,-1.3285,0.4964,30.0000,25.4133,6.6388,14.6812,29.5980,0.0368,0.0673,0.0328,0.0509
Na2WBiSe3I3,1.4186,-0.9503,0.4662,30.0000,25.3511,6.5199,15.1033,29.5895,0.0368,0.0652,0.0328,0.0500
Na2FeMnO6,1.4413,-1.7938,0.0095,30.0000,25.2753,6.3248,15.4045,29.4917,0.0368,0.0625,0.0328,0.0486
Na2SnMoS3Se3,1.3427,-0.9646,0.3543,30.0000,25.4279,7.3805,11.8232,29.5899,0.0368,0.0825,0.0329,0.0579
Na2SnMnCl3I3,1.3106,-1.2676,0.4272,30.0000,25.4179,7.6376,10.4957,29.6386,0.0368,0.0877,0.0328,0.0628
Na2VFeO3Br3,1.4594,-1.8248,0.0724,30.0000,25.2845,6.2267,15.8100,29.5519,0.0368,0.0604,0.0328,0.0482
Na2CrWSe3I3,1.4008,-1.0710,0.4727,30.0000,25.3568,6.6892,14.3835,29.5274,0.0368,0.0682,0.0329,0.0515
