Target_Bandgap_eV,ML_MAE_eV,PCE_Current,PCE_Future,Percent_SQ_Current,Percent_SQ_Future,LCOE_Penalty_Current,LCOE_Penalty_Future
0.90000,0.00000,0.10167,0.12337,70.11824,85.08034,0.00000,0.00017
0.95417,0.00000,0.13873,0.16972,69.65295,85.21396,0.00008,0.00002
1.00833,0.00000,0.17495,0.21261,70.09797,85.18440,0.00000,0.00000
1.06250,0.00000,0.19554,0.23721,69.99291,84.90589,0.00026,0.00008
1.11667,0.00000,0.21310,0.25877,69.94502,84.93608,0.00000,0.00002
1.17083,0.00000,0.22382,0.27215,69.97891,85.09272,0.00000,0.00002
1.22500,0.00000,0.23106,0.28011,70.01859,84.88216,0.00014,0.00000
1.27917,0.00000,0.23413,0.28391,70.02834,84.91895,0.00000,0.00005
1.33333,0.00000,0.23584,0.28584,70.01678,84.86153,0.00000,0.00006
1.38750,0.00000,0.23406,0.28461,69.94694,85.05216,0.00017,0.00000
1.44167,0.00000,0.22993,0.27952,69.97521,85.06871,0.00000,0.00000
1.49583,0.00000,0.22548,0.27342,70.12404,85.03293,0.00000,0.00000
1.55000,0.00000,0.21834,0.26479,70.09383,85.00412,0.00000,0.00000
1.60417,0.00000,0.21075,0.25605,69.98800,85.03033,0.00000,0.00004
1.65833,0.00000,0.20295,0.24658,70.04447,85.10112,0.00014,0.00000
1.71250,0.00000,0.19462,0.23638,69.97585,84.99151,0.00000,0.00005
1.76667,0.00000,0.18607,0.22580,70.03948,84.99256,0.00010,0.00000
1.82083,0.00000,0.17724,0.21508,69.99710,84.94347,0.00059,0.00000
1.87500,0.00000,0.16824,0.20489,69.88165,85.10360,0.00000,0.00000
1.92917,0.00000,0.16023,0.19433,70.09695,85.01480,0.00000,0.00000
1.98333,0.00000,0.15250,0.18408,70.38252,84.96087,0.00000,0.00001
2.03750,0.00000,0.14318,0.17402,69.92840,84.99377,0.00032,0.00003
2.09167,0.00000,0.13477,0.16416,69.88787,85.12946,0.00050,0.00000
2.14583,0.00000,0.12661,0.15417,69.80324,85.00246,0.00043,0.00000
2.20000,0.00000,0.11940,0.14464,70.23626,85.08068,0.00000,0.00005
0.90000,0.02500,0.10303,0.12577,71.05686,86.74067,0.00000,0.00000
0.95417,0.02500,0.13929,0.16952,69.93489,85.11595,0.00013,0.00009
1.00833,0.02500,0.17341,0.21045,69.47928,84.32021,0.00106,0.00024
1.06250,0.02500,0.19561,0.23719,70.01819,84.89951,0.00000,0.00001
1.11667,0.02500,0.21276,0.25819,69.83401,84.74468,0.00019,0.00016
1.17083,0.02500,0.22353,0.27131,69.88901,84.82724,0.00000,0.00002
1.22500,0.02500,0.23121,0.28022,70.06438,84.91540,0.00004,0.00004
1.27917,0.02500,0.23385,0.28384,69.94637,84.89614,0.00000,0.00000
1.33333,0.02500,0.23500,0.28568,69.76726,84.81214,0.00024,0.00004
1.38750,0.02500,0.23394,0.28426,69.90974,84.95027,0.00030,0.00005
