ML_MAE_eV,Achieved_PCE_Percent,SQ_Saturation_Percent,LCOE_Penalty_Current,LCOE_Penalty_Future
0.13417,27.91408,99.51996,0.00020,0.00002
0.59417,24.77596,88.33186,0.00558,0.00047
0.51383,27.46949,97.93490,0.00089,0.00008
0.04441,28.04810,99.99778,0.00000,0.00000
0.07718,28.04312,99.98002,0.00001,0.00000
0.00185,28.04874,100.00004,0.00000,0.00000
0.59705,0.50000,1.78261,2.32679,0.19770
0.51446,15.10844,53.86499,0.03617,0.00307
0.59893,23.01448,82.05179,0.00924,0.00078
0.38016,27.71778,98.82011,0.00050,0.00004
0.45244,27.68861,98.71610,0.00055,0.00005
0.41186,27.11366,96.66629,0.00146,0.00012
0.23424,27.47057,97.93874,0.00089,0.00008
0.09657,28.00531,99.84523,0.00007,0.00001
0.36586,27.17093,96.87045,0.00136,0.00012
0.50730,24.95988,88.98756,0.00523,0.00044
0.29911,27.79217,99.08532,0.00039,0.00003
0.37493,26.63787,94.96998,0.00224,0.00019
0.08014,28.03908,99.96562,0.00001,0.00000
0.51570,26.78531,95.49564,0.00199,0.00017
0.26955,27.72921,98.86087,0.00049,0.00004
0.56389,26.73980,95.33338,0.00207,0.00018
0.38935,0.50000,1.78261,2.32679,0.19770
0.39738,27.55023,98.22276,0.00076,0.00006
0.24584,28.01797,99.89037,0.00005,0.00000
0.10400,27.69063,98.72332,0.00055,0.00005
0.36857,26.68805,95.14889,0.00215,0.00018
0.08410,28.04657,99.99233,0.00000,0.00000
0.49840,0.50000,1.78261,2.32679,0.19770
0.42192,27.96110,99.68761,0.00013,0.00001
0.00668,28.04337,99.98090,0.00001,0.00000
0.36592,27.61721,98.46154,0.00066,0.00006
0.49912,27.39064,97.65379,0.00101,0.00009
0.45603,0.50000,1.78261,2.32679,0.19770
0.26055,28.03109,99.93713,0.00003,0.00000
0.00431,28.04976,100.00369,0.00000,0.00000
0.10764,27.83423,99.23528,0.00033,0.00003
0.28671,25.98115,92.62863,0.00336,0.00029
0.00560,28.04972,100.00354,0.00000,0.00000
0.19364,27.97014,99.71984,0.00012,0.00001
0.18129,28.04604,99.99043,0.00000,0.00000
0.56928,25.57818,91.19196,0.00408,0.00035
0.47146,26.81499,95.60147,0.00194,0.00017
0.34747,26.46103,94.33950,0.00253,0.00022
