Formula,Predicted_Bandgap_eV,Predicted_Ef_eV_atom,Active_Material_Cost_m2,Panel_Lifetime_Years,Derate_Factor,Delta_Chi,Tolerance_Factor,Mu_Ratio,PCE_Median,LCOE_Median,LCOE_Q10_Best,LCOE_Q90_Worst,PCE_Old_Median,LCOE_Old_Median,Rank_Old,Rank_New,Rank_Delta
Na2WSbS3Br3,1.40335,-1.04672,0.17802,30.00000,0.82502,0.38000,0.93055,0.31579,24.60707,0.03733,0.03327,0.05210,25.39983,0.03670,1.00000,349.00000,-348.00000
Na2FeMnO3S3,1.40325,-1.59867,0.02606,30.00000,0.85000,0.86000,0.93969,0.39815,25.37279,0.03672,0.03280,0.05102,25.37202,0.03671,2.00000,1.00000,1.00000
Na2SbZnO3Br3,1.37211,-1.37409,0.12808,30.00000,0.85000,0.48000,0.92375,0.39881,25.39563,0.03674,0.03280,0.05385,25.36451,0.03672,3.00000,5.00000,-2.00000
Na2VCuO3F3,1.39063,-2.38833,0.12086,30.00000,0.85000,0.54000,0.97538,0.46863,25.38722,0.03673,0.03281,0.05191,25.38258,0.03672,3.00000,2.00000,1.00000
Na2NbCuO3Cl3,1.35483,-1.85969,0.14049,30.00000,0.85000,0.28000,0.92480,0.42679,25.40717,0.03677,0.03281,0.05613,25.42195,0.03672,3.00000,21.00000,-18.00000
Na2VNbS6,1.37031,-1.38843,0.19800,30.00000,0.85000,0.00000,0.93990,0.32065,25.39761,0.03675,0.03281,0.05409,25.37129,0.03673,6.00000,11.00000,-5.00000
K2VCuO3Cl3,1.39743,-1.92962,0.11313,30.00000,0.85000,0.28000,1.02436,0.39564,25.37112,0.03673,0.03281,0.05148,25.35503,0.03674,7.00000,3.00000,4.00000
Na2ZrMoS6,1.37281,-1.47890,0.22136,30.00000,0.85000,0.00000,0.91541,0.35598,25.39449,0.03676,0.03282,0.05379,25.40262,0.03674,7.00000,12.00000,-5.00000
Na2WMnS3Se3,1.39736,-1.07485,0.26574,30.00000,0.85000,0.03000,0.92140,0.32592,25.37101,0.03676,0.03283,0.05154,25.38535,0.03674,7.00000,15.00000,-8.00000
K2SnCuO3S3,1.41042,-1.66604,0.14210,30.00000,0.85000,0.86000,0.98934,0.43827,25.36246,0.03674,0.03282,0.05053,25.37845,0.03674,7.00000,9.00000,-2.00000
Na2SnMnO3Se3,1.39570,-1.42458,0.28241,30.00000,0.84566,0.89000,0.92381,0.39497,25.24334,0.03686,0.03291,0.05180,25.38405,0.03675,11.00000,100.00000,-89.00000
Na2FeMnO6,1.44129,-1.79380,0.00953,30.00000,0.85000,0.00000,0.96471,0.46071,25.28267,0.03676,0.03282,0.04930,25.29939,0.03675,11.00000,16.00000,-5.00000
K2NbCuO3Br3,1.34365,-1.81616,0.12489,30.00000,0.85000,0.48000,0.99264,0.40774,25.40269,0.03677,0.03281,0.05795,25.38380,0.03675,11.00000,20.00000,-9.00000
Li2VCuSe3F3,1.38372,-1.87144,0.32509,30.00000,0.57927,1.43000,0.74587,0.38602,17.10333,0.04592,0.03970,0.07050,25.40426,0.03675,11.00000,2056.00000,-2045.00000
Na2VCuO3Cl3,1.37650,-1.86000,0.10041,30.00000,0.85000,0.28000,0.94544,0.39564,25.38953,0.03673,0.03280,0.05333,25.32276,0.03675,11.00000,4.00000,7.00000
Na2WSbSe3Cl3,1.38700,-1.08759,0.30789,30.00000,0.80321,0.61000,0.93100,0.31662,23.95070,0.03789,0.03371,0.05445,25.40405,0.03675,11.00000,619.00000,-608.00000
