Formula,Predicted_Bandgap_eV,Predicted_Ef_eV_atom,Active_Material_Cost_m2,Panel_Lifetime_Years,Derate_Factor,Delta_Chi,Tolerance_Factor,Mu_Ratio,PCE_Median,LCOE_Median,LCOE_Q10_Best,LCOE_Q90_Worst,PCE_Old_Median,LCOE_Old_Median,Rank_Old,Rank_New,Rank_Delta,Lifetime_Ef_current,Lifetime_Ef_future
Na2WSbS3Br3,1.40335,-1.04672,0.17802,30.0,0.82502,0.38,0.93055,0.31579,24.60707,0.03733,0.03327,0.0521,25.39983,0.0367,1.0,349.0,-348.0,20.0,30.0
Na2FeMnO3S3,1.40325,-1.59867,0.02606,30.0,0.85,0.86,0.93969,0.39815,25.37279,0.03672,0.0328,0.05102,25.37202,0.03671,2.0,1.0,1.0,20.0,30.0
Na2SbZnO3Br3,1.37211,-1.37409,0.12808,30.0,0.85,0.48,0.92375,0.39881,25.39563,0.03674,0.0328,0.05385,25.36451,0.03672,3.0,5.0,-2.0,20.0,30.0
Na2VCuO3F3,1.39063,-2.38833,0.12086,30.0,0.85,0.54,0.97538,0.46863,25.38722,0.03673,0.03281,0.05191,25.38258,0.03672,3.0,2.0,1.0,20.0,30.0
Na2NbCuO3Cl3,1.35483,-1.85969,0.14049,30.0,0.85,0.28,0.9248,0.42679,25.40717,0.03677,0.03281,0.05613,25.42195,0.03672,3.0,21.0,-18.0,20.0,30.0
Na2VNbS6,1.37031,-1.38843,0.198,30.0,0.85,0.0,0.9399,0.32065,25.39761,0.03675,0.03281,0.05409,25.37129,0.03673,6.0,11.0,-5.0,20.0,30.0
K2VCuO3Cl3,1.39743,-1.92962,0.11313,30.0,0.85,0.28,1.02436,0.39564,25.37112,0.03673,0.03281,0.05148,25.35503,0.03674,7.0,3.0,4.0,20.0,30.0
Na2ZrMoS6,1.37281,-1.4789,0.22136,30.0,0.85,0.0,0.91541,0.35598,25.39449,0.03676,0.03282,0.05379,25.40262,0.03674,7.0,12.0,-5.0,20.0,30.0
Na2WMnS3Se3,1.39736,-1.07485,0.26574,30.0,0.85,0.03,0.9214,0.32592,25.37101,0.03676,0.03283,0.05154,25.38535,0.03674,7.0,15.0,-8.0,20.0,30.0
K2SnCuO3S3,1.41042,-1.66604,0.1421,30.0,0.85,0.86,0.98934,0.43827,25.36246,0.03674,0.03282,0.05053,25.37845,0.03674,7.0,9.0,-2.0,20.0,30.0
Na2SnMnO3Se3,1.3957,-1.42458,0.28241,30.0,0.84566,0.89,0.92381,0.39497,25.24334,0.03686,0.03291,0.0518,25.38405,0.03675,11.0,100.0,-89.0,20.0,30.0
Na2FeMnO6,1.44129,-1.7938,0.00953,30.0,0.85,0.0,0.96471,0.46071,25.28267,0.03676,0.03282,0.0493,25.29939,0.03675,11.0,16.0,-5.0,20.0,30.0
K2NbCuO3Br3,1.34365,-1.81616,0.12489,30.0,0.85,0.48,0.99264,0.40774,25.40269,0.03677,0.03281,0.05795,25.3838,0.03675,11.0,20.0,-9.0,20.0,30.0
Li2VCuSe3F3,1.38372,-1.87144,0.32509,30.0,0.57927,1.43,0.74587,0.38602,17.10333,0.04592,0.0397,0.0705,25.40426,0.03675,11.0,2056.0,-2045.0,20.0,30.0
Na2VCuO3Cl3,1.3765,-1.86,0.10041,30.0,0.85,0.28,0.94544,0.39564,25.38953,0.03673,0.0328,0.05333,25.32276,0.03675,11.0,4.0,7.0,20.0,30.0
Na2WSbSe3Cl3,1.387,-1.08759,0.30789,30.0,0.80321,0.61,0.931,0.31662,23.9507,0.03789,0.03371,0.05445,25.40405,0.03675,11.0,619.0,-608.0,20.0,30.0
Na2SnNbSe3Cl3,1.37021,-1.40577,0.30457,30.0,0.82663,0.61,0.90736,0.35092,24.68013,0.03732,0.03325,0.05525,25.38039,0.03676,17.0,339.0,-322.0,20.0,30.0
Na2SbZnSe3Br3,1.4019,-1.12324,0.24115,30.0,0.83076,0.41,0.89995,0.3401,24.78221,0.0372,0.03318,0.05199,25.34678,0.03676,17.0,273.0,-256.0,20.0,30.0
K2CrWS3Se3,1.42621,-1.17858,0.27013,30.0,0.85,0.03,0.99711,0.31806,25.33101,0.03678,0.03284,0.0499,25.32325,0.03677,19.0,27.0,-8.0,20.0,30.0
K2MoSbSe3F3,1.3525,-1.86986,0.39572,30.0,0.78004,1.43,1.03698,0.3617,23.25488,0.03855,0.03419,0.06014,25.41208,0.03677,19.0,851.0,-832.0,20.0,30.0
Na2NbCuO3F3,1.36022,-2.44936,0.16458,30.0,0.85,0.54,0.95147,0.50554,25.40802,0.03676,0.03281,0.05532,25.36078,0.03677,19.0,14.0,5.0,20.0,30.0
K2FeMnO3S3,1.44035,-1.62011,0.0465,30.0,0.85,0.86,1.01773,0.39815,25.28946,0.03677,0.03283,0.04933,25.28225,0.03677,19.0,23.0,-4.0,20.0,30.0
Na2CrWSe3I3,1.40084,-1.07097,0.47266,30.0,0.81057,0.11,0.91223,0.29067,24.16782,0.03774,0.03359,0.05308,25.36728,0.03677,19.0,553.0,-534.0,20.0,30.0
K2VSbS6,1.35304,-1.0826,0.22106,30.0,0.85,0.0,1.02105,0.30978,25.40773,0.03678,0.03282,0.05644,25.33082,0.03677,19.0,25.0,-6.0,20.0,30.0
Na2TiMoS6,1.43017,-1.35568,0.20613,30.0,0.85,0.0,0.93701,0.32473,25.32254,0.03678,0.03284,0.04974,25.32305,0.03677,19.0,26.0,-7.0,20.0,30.0
K2VCuSe3F3,1.36627,-1.96727,0.29631,30.0,0.80406,1.43,1.01879,0.38602,23.99538,0.03788,0.03368,0.05689,25.37615,0.03678,26.0,614.0,-588.0,20.0,30.0
Na2WFeS3Br3,1.43847,-1.11708,0.10756,30.0,0.83427,0.38,0.92225,0.32763,24.81672,0.03714,0.03311,0.05006,25.30039,0.03678,26.0,236.0,-210.0,20.0,30.0
K2MnBiO6,1.39173,-1.86184,0.18543,30.0,0.85,0.0,1.0224,0.50179,25.38592,0.03674,0.03282,0.05184,25.35921,0.03678,26.0,6.0,20.0,20.0,30.0
K2WSbSe3Br3,1.38124,-1.12396,0.26621,30.0,0.82518,0.41,0.99325,0.30457,24.6307,0.03734,0.03328,0.05401,25.38472,0.03678,26.0,355.0,-329.0,20.0,30.0
Na2MnZnCl3I3,1.37934,-1.26171,0.41007,30.0,0.8198,0.5,0.88995,0.34539,24.46821,0.0375,0.0334,0.05451,25.37745,0.03678,26.0,424.0,-398.0,20.0,30.0
K2CrWSe3Br3,1.42038,-1.28817,0.22425,30.0,0.82969,0.41,0.99036,0.30838,24.72459,0.03724,0.0332,0.05096,25.30542,0.03678,26.0,296.0,-270.0,20.0,30.0
Na2ZrSbSe3Br3,1.37588,-1.38969,0.25558,30.0,0.82778,0.41,0.90338,0.33503,24.7136,0.03728,0.03322,0.05446,25.34368,0.03678,26.0,322.0,-296.0,20.0,30.0
Na2VSbS6,1.37917,-1.06589,0.21977,30.0,0.85,0.0,0.9477,0.30978,25.38918,0.03675,0.03282,0.0531,25.36238,0.03678,26.0,10.0,16.0,20.0,30.0
K2WSbS3Br3,1.44229,-1.16566,0.18068,30.0,0.84189,0.38,1.00126,0.31579,25.03306,0.03698,0.03299,0.04961,25.27371,0.03678,26.0,160.0,-134.0,20.0,30.0
Na2WFeSe3Cl3,1.42858,-1.2191,0.25187,30.0,0.81245,0.61,0.92268,0.3285,24.17603,0.03768,0.03354,0.0514,25.31966,0.03678,26.0,529.0,-503.0,20.0,30.0
Na2VCuO3Br3,1.33198,-1.70489,0.08718,30.0,0.85,0.48,0.93772,0.37798,25.36999,0.03679,0.03282,0.06039,25.33804,0.03678,26.0,29.0,-3.0,20.0,30.0
Na2SnSbSe3I3,1.38453,-0.86406,0.50948,30.0,0.82511,0.11,0.89972,0.30861,24.62759,0.03739,0.03331,0.05374,25.37774,0.03679,37.0,381.0,-344.0,20.0,30.0
K2ZrMoS6,1.33318,-1.5057,0.22249,30.0,0.85,0.0,0.98627,0.35598,25.37368,0.03681,0.03283,0.06018,25.34301,0.03679,37.0,49.0,-12.0,20.0,30.0
K2NbZnSe3Br3,1.37682,-1.41109,0.23017,30.0,0.85,0.41,0.95964,0.35025,25.38874,0.03676,0.03282,0.05335,25.36817,0.03679,37.0,13.0,24.0,20.0,30.0
K2MnBiO3Se3,1.38653,-1.36237,0.29615,30.0,0.85,0.89,0.98419,0.41568,25.39199,0.03677,0.03283,0.05239,25.3422,0.03679,37.0,22.0,15.0,20.0,30.0
Na2SnCuO3S3,1.40714,-1.6473,0.13386,30.0,0.85,0.86,0.91347,0.43827,25.37048,0.03674,0.03282,0.05075,25.30881,0.03679,37.0,7.0,30.0,20.0,30.0
K2SnZnBr3I3,1.33843,-1.22836,0.36008,30.0,0.85,0.3,0.94112,0.34375,25.39281,0.03683,0.03285,0.05914,25.39529,0.03679,37.0,73.0,-36.0,20.0,30.0
K2TaFeS3Br3,1.37689,-1.41427,0.5472,30.0,0.85,0.38,0.98453,0.33816,25.38801,0.03681,0.03287,0.05345,25.40995,0.03679,37.0,56.0,-19.0,20.0,30.0
K2NbFeS3I3,1.35898,-1.19378,0.45314,30.0,0.85,0.08,0.97202,0.31807,25.41013,0.03681,0.03285,0.0556,25.3772,0.0368,44.0,54.0,-10.0,20.0,30.0
Na2NbZnSe3Cl3,1.39008,-1.31847,0.27218,30.0,0.83302,0.61,0.89859,0.36412,24.86247,0.03715,0.03313,0.05275,25.35438,0.0368,44.0,243.0,-199.0,20.0,30.0
K2NbCuO3I3,1.40399,-1.66747,0.48346,30.0,0.85,0.78,0.97885,0.38056,25.37292,0.0368,0.03286,0.05107,25.36385,0.0368,44.0,40.0,4.0,20.0,30.0
K2FeSbO3Br3,1.45398,-1.49598,0.13376,30.0,0.85,0.48,1.01959,0.37054,25.2411,0.0368,0.03285,0.04896,25.22051,0.0368,44.0,46.0,-2.0,20.0,30.0
Na2MnBiO3I3,1.3433,-1.27669,0.45625,30.0,0.83949,0.78,0.90137,0.39028,25.07671,0.03707,0.03304,0.05863,25.37324,0.0368,44.0,203.0,-159.0,20.0,30.0
Na2NbFeS3I3,1.35755,-1.08023,0.46348,30.0,0.84339,0.08,0.90563,0.31807,25.2113,0.03697,0.03297,0.05612,25.40413,0.0368,44.0,151.0,-107.0,20.0,30.0
Na2SnCuS3Se3,1.34838,-0.8146,0.27488,30.0,0.85,0.03,0.89063,0.37173,25.40413,0.03679,0.03283,0.05716,25.35295,0.0368,44.0,30.0,14.0,20.0,30.0
K2ZrWSe6,1.35275,-1.3208,0.34887,30.0,0.85,0.0,0.96959,0.33333,25.40605,0.0368,0.03284,0.05653,25.37962,0.0368,44.0,43.0,1.0,20.0,30.0
K2FeMnO6,1.4256,-1.75551,0.03529,30.0,0.85,0.0,1.05115,0.46071,25.33159,0.03674,0.03281,0.04987,25.26091,0.0368,44.0,8.0,36.0,20.0,30.0
Na2SnZnF3I3,1.3822,-1.9259,0.45405,30.0,0.79673,1.32,0.90034,0.40741,23.76409,0.03808,0.03385,0.05535,25.36544,0.0368,44.0,703.0,-659.0,20.0,30.0
K2MnSbO3Se3,1.32686,-1.40098,0.315,30.0,0.8436,0.89,1.01823,0.36834,25.16436,0.03698,0.03297,0.06201,25.38353,0.0368,44.0,163.0,-119.0,20.0,30.0
Na2ZrFeO3Br3,1.46339,-2.01599,0.05829,30.0,0.85,0.48,0.91886,0.40625,25.21222,0.03681,0.03285,0.04863,25.23225,0.0368,44.0,53.0,-9.0,20.0,30.0
Na2MnSbO3Br3,1.34447,-1.52597,0.12905,30.0,0.85,0.48,0.94281,0.37054,25.40141,0.03676,0.03281,0.0578,25.35366,0.0368,44.0,18.0,26.0,20.0,30.0
K2VTaS3Se3,1.41486,-1.3209,0.73859,30.0,0.85,0.03,1.00409,0.3089,25.36092,0.03685,0.03291,0.05051,25.3753,0.0368,44.0,94.0,-50.0,20.0,30.0
K2VSbO3Se3,1.43514,-1.53401,0.35754,30.0,0.8087,0.89,1.04189,0.33728,24.0456,0.03781,0.03363,0.05136,25.33178,0.0368,44.0,584.0,-540.0,20.0,30.0
K2WBiSe3I3,1.38106,-1.03675,0.45945,30.0,0.85,0.11,0.95217,0.32536,25.39023,0.03679,0.03286,0.05297,25.34786,0.0368,44.0,34.0,10.0,20.0,30.0
K2NbZnSe3Cl3,1.4365,-1.44838,0.27025,30.0,0.85,0.61,0.96697,0.36412,25.29964,0.0368,0.03285,0.04953,25.29239,0.0368,44.0,41.0,3.0,20.0,30.0
Na2SnNbSe3I3,1.37649,-1.00883,0.50952,30.0,0.83176,0.11,0.89319,0.31818,24.8324,0.03723,0.03318,0.05429,25.37811,0.0368,44.0,289.0,-245.0,20.0,30.0
Na2CrMoO3I3,1.39304,-1.49936,0.53324,30.0,0.81006,0.78,0.93888,0.33472,24.15414,0.03776,0.03361,0.05365,25.35919,0.03681,62.0,561.0,-499.0,20.0,30.0
Na2ZrSbS3I3,1.41591,-1.22823,0.4681,30.0,0.84923,0.08,0.89971,0.32673,25.33356,0.03682,0.03288,0.05044,25.32477,0.03681,62.0,66.0,-4.0,20.0,30.0
Na2NbZnS3I3,1.35064,-1.12727,0.45941,30.0,0.85,0.08,0.88975,0.34158,25.40482,0.03682,0.03285,0.05687,25.3773,0.03681,62.0,65.0,-3.0,20.0,30.0
Na2WBiO3I3,1.39777,-1.37097,0.44734,30.0,0.83511,0.78,0.90954,0.37778,24.91388,0.03714,0.03312,0.05219,25.3942,0.03681,62.0,231.0,-169.0,20.0,30.0
Na2MoWS3Se3,1.35445,-1.03571,0.34394,30.0,0.85,0.03,0.93152,0.31152,25.40839,0.0368,0.03284,0.05626,25.35705,0.03681,62.0,42.0,20.0,20.0,30.0
Na2ZrWS6,1.43065,-1.48907,0.16139,30.0,0.85,0.0,0.91358,0.3587,25.32194,0.03677,0.03283,0.04971,25.26713,0.03681,62.0,24.0,38.0,20.0,30.0
K2ZrSbSe3I3,1.40365,-1.32848,0.4964,30.0,0.85,0.11,0.95909,0.31579,25.37393,0.0368,0.03287,0.05112,25.3377,0.03681,62.0,45.0,17.0,20.0,30.0
Na2MnSbO6,1.44927,-2.07355,0.1818,30.0,0.85,0.0,0.97544,0.44464,25.25328,0.0368,0.03285,0.04911,25.2152,0.03681,62.0,44.0,18.0,20.0,30.0
