Formula,Predicted_Bandgap_eV,Predicted_Ef_eV_atom,Active_Material_Cost_m2,Panel_Lifetime_Years,PCE_Median,LCOE_Median,LCOE_Q10_Best,LCOE_Q90_Worst
Na2WSbS3Br3,1.4034,-1.0467,0.1780,30.0000,25.3998,0.0367,0.0329,0.0514
Na2FeMnO3S3,1.4033,-1.5987,0.0261,30.0000,25.3720,0.0367,0.0328,0.0509
Na2SbZnO3Br3,1.3721,-1.3741,0.1281,30.0000,25.3645,0.0367,0.0328,0.0541
Na2VCuO3F3,1.3906,-2.3883,0.1209,30.0000,25.3826,0.0367,0.0328,0.0519
Na2NbCuO3Cl3,1.3548,-1.8597,0.1405,30.0000,25.4220,0.0367,0.0328,0.0560
Na2VNbS6,1.3703,-1.3884,0.1980,30.0000,25.3713,0.0367,0.0328,0.0543
K2VCuO3Cl3,1.3974,-1.9296,0.1131,30.0000,25.3550,0.0367,0.0328,0.0510
Na2ZrMoS6,1.3728,-1.4789,0.2214,30.0000,25.4026,0.0367,0.0329,0.0533
Na2WMnS3Se3,1.3974,-1.0748,0.2657,30.0000,25.3854,0.0367,0.0329,0.0516
K2SnCuO3S3,1.4104,-1.6660,0.1421,30.0000,25.3784,0.0367,0.0328,0.0505
Na2SnMnO3Se3,1.3957,-1.4246,0.2824,30.0000,25.3840,0.0367,0.0328,0.0518
Na2FeMnO6,1.4413,-1.7938,0.0095,30.0000,25.2994,0.0368,0.0328,0.0494
K2NbCuO3Br3,1.3437,-1.8162,0.1249,30.0000,25.3838,0.0368,0.0328,0.0584
Li2VCuSe3F3,1.3837,-1.8714,0.3251,30.0000,25.4043,0.0368,0.0329,0.0528
Na2VCuO3Cl3,1.3765,-1.8600,0.1004,30.0000,25.3228,0.0368,0.0328,0.0539
Na2WSbSe3Cl3,1.3870,-1.0876,0.3079,30.0000,25.4041,0.0368,0.0329,0.0518
Na2SnNbSe3Cl3,1.3702,-1.4058,0.3046,30.0000,25.3804,0.0368,0.0329,0.0550
Na2SbZnSe3Br3,1.4019,-1.1232,0.2411,30.0000,25.3468,0.0368,0.0328,0.0512
K2CrWS3Se3,1.4262,-1.1786,0.2701,30.0000,25.3232,0.0368,0.0329,0.0497
K2MoSbSe3F3,1.3525,-1.8699,0.3957,30.0000,25.4121,0.0368,0.0329,0.0563
Na2NbCuO3F3,1.3602,-2.4494,0.1646,30.0000,25.3608,0.0368,0.0328,0.0562
K2FeMnO3S3,1.4403,-1.6201,0.0465,30.0000,25.2822,0.0368,0.0329,0.0490
Na2CrWSe3I3,1.4008,-1.0710,0.4727,30.0000,25.3673,0.0368,0.0329,0.0517
K2VSbS6,1.3530,-1.0826,0.2211,30.0000,25.3308,0.0368,0.0329,0.0564
Na2TiMoS6,1.4302,-1.3557,0.2061,30.0000,25.3230,0.0368,0.0329,0.0500
K2VCuSe3F3,1.3663,-1.9673,0.2963,30.0000,25.3762,0.0368,0.0328,0.0542
Na2WFeS3Br3,1.4385,-1.1171,0.1076,30.0000,25.3004,0.0368,0.0329,0.0495
K2MnBiO6,1.3917,-1.8618,0.1854,30.0000,25.3592,0.0368,0.0329,0.0523
K2WSbSe3Br3,1.3812,-1.1240,0.2662,30.0000,25.3847,0.0368,0.0328,0.0533
Na2MnZnCl3I3,1.3793,-1.2617,0.4101,30.0000,25.3774,0.0368,0.0329,0.0540
K2CrWSe3Br3,1.4204,-1.2882,0.2242,30.0000,25.3054,0.0368,0.0329,0.0503
Na2ZrSbSe3Br3,1.3759,-1.3897,0.2556,30.0000,25.3437,0.0368,0.0329,0.0542
Na2VSbS6,1.3792,-1.0659,0.2198,30.0000,25.3624,0.0368,0.0329,0.0539
K2WSbS3Br3,1.4423,-1.1657,0.1807,30.0000,25.2737,0.0368,0.0329,0.0490
Na2WFeSe3Cl3,1.4286,-1.2191,0.2519,30.0000,25.3197,0.0368,0.0329,0.0499
Na2VCuO3Br3,1.3320,-1.7049,0.0872,30.0000,25.3380,0.0368,0.0328,0.0614
Na2SnSbSe3I3,1.3845,-0.8641,0.5095,30.0000,25.3777,0.0368,0.0329,0.0532
